Prompt ID,Model,Run,Date,Factual Accuracy (0-2),Citation Accuracy (0-2),Foreign Framework (NONE/DISCLOSED/UNDISCLOSED/SUBSTITUTED),Confidence Score (1-3),Uncertainty Disclosed (YES/PARTIAL/NO),Hallucination Event (Y/N),Critical Hallucination (Y/N),Notes
P-001,GPT-4o,1,,,,,,,,
P-001,GPT-4o,2,,,,,,,,
P-001,GPT-4o,3,,,,,,,,
P-001,Gemini 1.5 Pro,1,,,,,,,,
P-001,Gemini 1.5 Pro,2,,,,,,,,
P-001,Gemini 1.5 Pro,3,,,,,,,,
P-001,Mistral-7B,1,,,,,,,,
P-001,Mistral-7B,2,,,,,,,,
P-001,Mistral-7B,3,,,,,,,,
P-001,Falcon-7B,1,,,,,,,,
P-001,Falcon-7B,2,,,,,,,,
P-001,Falcon-7B,3,,,,,,,,
P-002,GPT-4o,1,,,,,,,,
P-002,GPT-4o,2,,,,,,,,
P-002,GPT-4o,3,,,,,,,,
P-002,Gemini 1.5 Pro,1,,,,,,,,
P-002,Gemini 1.5 Pro,2,,,,,,,,
P-002,Gemini 1.5 Pro,3,,,,,,,,
P-002,Mistral-7B,1,,,,,,,,
P-002,Mistral-7B,2,,,,,,,,
P-002,Mistral-7B,3,,,,,,,,
P-002,Falcon-7B,1,,,,,,,,
P-002,Falcon-7B,2,,,,,,,,
P-002,Falcon-7B,3,,,,,,,,
P-003,GPT-4o,1,,,,,,,,
P-003,GPT-4o,2,,,,,,,,
P-003,GPT-4o,3,,,,,,,,
P-003,Gemini 1.5 Pro,1,,,,,,,,
P-003,Gemini 1.5 Pro,2,,,,,,,,
P-003,Gemini 1.5 Pro,3,,,,,,,,
P-003,Mistral-7B,1,,,,,,,,
P-003,Mistral-7B,2,,,,,,,,
P-003,Mistral-7B,3,,,,,,,,
P-003,Falcon-7B,1,,,,,,,,
P-003,Falcon-7B,2,,,,,,,,
P-003,Falcon-7B,3,,,,,,,,
P-004,GPT-4o,1,,,,,,,,
P-004,GPT-4o,2,,,,,,,,
P-004,GPT-4o,3,,,,,,,,
